TYP#SNO#=2
DATI#SNO#=#DATI#
STATION_NR#SNO#=#STATION_NR#
SHF#SNO#=#ShiftID#
ACC_REP_NR#SNO#=#ACC_REP_NR#
OPID#SNO#=#OPID#
REF#SNO#=#AccDayNum#@TillID@#REFSEQ#
SEQ#SNO#=#SEQ#
SAFTDATI#SNO#=#DATI#
LCUR#SNO#=10
PAN#SNO#=476223*******570
MERCH_ID#SNO#,1=A
MERCH_NAME#SNO#,1=Test Store
MERCH_RECEIPT_SEQ_NR#SNO#,1=0#STATION_NR#00261650
PMP#SNO#,1=7
PUMP_MODE#SNO#,1=1,1,1
NOZZLE#SNO#,1=4
NDATI#SNO#,1=20220930064437
START_DATE#SNO#,1=20220930064400
PRI#SNO#,1=1.799
BASEPRI#SNO#,1=1.799
QTY#SNO#,1=16.79
QTYUNIT#SNO#,1=2
GAMT#SNO#,1=30.21
AMT#SNO#,1=30.21
UGAMT#SNO#,1=30.21
UAMT#SNO#,1=30.21
PLU#SNO#,1=8
NAM#SNO#,1=FS Diesel
GRP#SNO#,1=1000101
CRD#SNO#,1=425
EXTREF#SNO#,1=19
ART_MERCH_ID#SNO#,1=A
PRC#SNO#,1=20.00
VAMT#SNO#,1=5.03
EXC#SNO#,1=25.18
INC#SNO#,1=30.21
NQUA_CHANGEABLE#SNO#,1=155440.52
CPPAN#SNO#,1=476223*******570
MOP#SNO#,1=6
MOP_ADDX#SNO#,1=50
MOP_ADDY#SNO#,1=12
ROP#SNO#,1=1
PM#SNO#,1=949
PSUB#SNO#,1=12
PA#SNO#,1=30.21
SLSTOT#SNO#=30.21
