TYP#SNO#=2
DATI#SNO#=#DATI#
STATION_NR#SNO#=#STATION_NR#
SHF#SNO#=#ShiftID#
ACC_REP_NR#SNO#=#ACC_REP_NR#
OPID#SNO#=#OPID#
REF#SNO#=#AccDayNum#@TillID@#REFSEQ#
SEQ#SNO#=#SEQ#
SAFTDATI#SNO#=#DATI#
LCUR#SNO#=10
REPL#SNO#=2
MERCH_ID#SNO#,1=A
MERCH_NAME#SNO#,1=Test Store
MERCH_RECEIPT_SEQ_NR#SNO#,1=0#STATION_NR#00261644
PRI#SNO#,1=1.20
UPR#SNO#,1=1.20
PROGPRI#SNO#,1=2.50
PROGUPR#SNO#,1=2.50
QTY#SNO#,1=1.00
QTYUNIT#SNO#,1=1
GAMT#SNO#,1=1.20
AMT#SNO#,1=1.20
UGAMT#SNO#,1=1.20
UAMT#SNO#,1=1.20
PLU#SNO#,1=113435
NAM#SNO#,1=T UK WED X1 £2.50
GRP#SNO#,1=5024
CRD#SNO#,1=1319
BAR#SNO#,1=9771742498530
ART_MERCH_ID#SNO#,1=A
EXC#SNO#,1=1.20
INC#SNO#,1=1.20
PRI#SNO#,2=1.29
UPR#SNO#,2=1.29
QTY#SNO#,2=1.00
QTYUNIT#SNO#,2=1
GAMT#SNO#,2=1.29
AMT#SNO#,2=1.29
UGAMT#SNO#,2=1.29
UAMT#SNO#,2=1.29
PLU#SNO#,2=105044
NAM#SNO#,2=C LIFE MILK WHOLE 2P
GRP#SNO#,2=5029
CRD#SNO#,2=6000
BAR#SNO#,2=5035230100041
ART_MERCH_ID#SNO#,2=A
EXC#SNO#,2=1.29
INC#SNO#,2=1.29
MOP#SNO#,1=1
MOP_ADDX#SNO#,1=10
ROP#SNO#,1=1
PM#SNO#,1=110
PA#SNO#,1=2.49
SLSTOT#SNO#=2.49
