TYP#SNO#=2
DATI#SNO#=#DATI#
STATION_NR#SNO#=#STATION_NR#
SHF#SNO#=#ShiftID#
ACC_REP_NR#SNO#=#ACC_REP_NR#
OPID#SNO#=#OPID#
REF#SNO#=#AccDayNum#@TillID@#REFSEQ#
SEQ#SNO#=#SEQ#
SAFTDATI#SNO#=#DATI#
LCUR#SNO#=10
PAN#SNO#=514196*******878
MERCH_ID#SNO#,1=A
MERCH_NAME#SNO#,1=Test Store
MERCH_RECEIPT_SEQ_NR#SNO#,1=0#STATION_NR#00261642
PRI#SNO#,1=1.05
UPR#SNO#,1=1.05
QTY#SNO#,1=1.00
QTYUNIT#SNO#,1=1
GAMT#SNO#,1=1.05
AMT#SNO#,1=1.05
UGAMT#SNO#,1=1.05
UAMT#SNO#,1=1.05
PLU#SNO#,1=101314
NAM#SNO#,1=SNICKER BAR 48G
GRP#SNO#,1=5027
CRD#SNO#,1=3119
BAR#SNO#,1=5000159470629
ART_MERCH_ID#SNO#,1=A
PRC#SNO#,1=20.00
VAMT#SNO#,1=0.17
EXC#SNO#,1=0.88
INC#SNO#,1=1.05
PRI#SNO#,2=1.29
UPR#SNO#,2=1.29
QTY#SNO#,2=1.00
QTYUNIT#SNO#,2=1
GAMT#SNO#,2=1.29
AMT#SNO#,2=1.29
UGAMT#SNO#,2=1.29
UAMT#SNO#,2=1.29
PLU#SNO#,2=105044
NAM#SNO#,2=C LIFE MILK WHOLE 2P
GRP#SNO#,2=5029
CRD#SNO#,2=6000
BAR#SNO#,2=5035230100041
ART_MERCH_ID#SNO#,2=A
EXC#SNO#,2=1.29
INC#SNO#,2=1.29
CPPAN#SNO#,1=514196*******878
MOP#SNO#,1=6
MOP_ADDX#SNO#,1=50
MOP_ADDY#SNO#,1=14
ROP#SNO#,1=1
PM#SNO#,1=949
PSUB#SNO#,1=14
PA#SNO#,1=2.34
SLSTOT#SNO#=2.34
