T1TillID,T2TillID,T1OptrID,T2OptrID,T1POS,T2POS
11,12,1200,1701,1,2
11,12,1201,1702,1,2
11,12,1202,1703,1,2
11,12,1203,1704,1,2
11,12,1204,1705,1,2
11,12,1205,1706,1,2
11,12,1206,1707,1,2
11,12,1207,1708,1,2
11,12,1208,1709,1,2
11,12,1209,1710,1,2
11,12,1210,1711,1,2
11,12,1211,1712,1,2
11,12,1212,1713,1,2
11,12,1213,1714,1,2
11,12,1214,1715,1,2
11,12,1215,1716,1,2
11,12,1216,1717,1,2
11,12,1217,1718,1,2
11,12,1218,1719,1,2
11,12,1219,1720,1,2
11,12,1220,1721,1,2
11,12,1221,1722,1,2
11,12,1222,1723,1,2
11,12,1223,1724,1,2
11,12,1224,1725,1,2
11,12,1225,1726,1,2
11,12,1226,1727,1,2
11,12,1227,1728,1,2
11,12,1228,1729,1,2
11,12,1229,1730,1,2
11,12,1230,1731,1,2
11,12,1231,1732,1,2
11,12,1232,1733,1,2
11,12,1233,1734,1,2
11,12,1234,1735,1,2
11,12,1235,1736,1,2
11,12,1236,1737,1,2
11,12,1237,1738,1,2
11,12,1238,1739,1,2
11,12,1239,1740,1,2
11,12,1240,1741,1,2
11,12,1241,1742,1,2
11,12,1242,1743,1,2
11,12,1243,1744,1,2
11,12,1244,1745,1,2
11,12,1245,1746,1,2
11,12,1246,1747,1,2
11,12,1247,1748,1,2
11,12,1248,1749,1,2
11,12,1249,1750,1,2
11,12,1250,1751,1,2
11,12,1251,1752,1,2
11,12,1252,1753,1,2
11,12,1253,1754,1,2
11,12,1254,1755,1,2
11,12,1255,1756,1,2
11,12,1256,1757,1,2
11,12,1257,1758,1,2
11,12,1258,1759,1,2
11,12,1259,1760,1,2
11,12,1260,1761,1,2
11,12,1261,1762,1,2
11,12,1262,1763,1,2
11,12,1263,1764,1,2
11,12,1264,1765,1,2
11,12,1265,1766,1,2
11,12,1266,1767,1,2
11,12,1267,1768,1,2
11,12,1268,1769,1,2
11,12,1269,1770,1,2
11,12,1270,1771,1,2
11,12,1271,1772,1,2
11,12,1272,1773,1,2
11,12,1273,1774,1,2
11,12,1274,1775,1,2
11,12,1275,1776,1,2
11,12,1276,1777,1,2
11,12,1277,1778,1,2
11,12,1278,1779,1,2
11,12,1279,1780,1,2
11,12,1280,1781,1,2
11,12,1281,1782,1,2
11,12,1282,1783,1,2
11,12,1283,1784,1,2
11,12,1284,1785,1,2
11,12,1285,1786,1,2
11,12,1286,1787,1,2
11,12,1287,1788,1,2
11,12,1288,1789,1,2
11,12,1289,1790,1,2
11,12,1290,1791,1,2
11,12,1291,1792,1,2
11,12,1292,1793,1,2
11,12,1293,1794,1,2
11,12,1294,1795,1,2
11,12,1295,1796,1,2
11,12,1296,1797,1,2
11,12,1297,1798,1,2
11,12,1298,1799,1,2
11,12,1299,1800,1,2
11,12,1300,1801,1,2
11,12,1301,1802,1,2
11,12,1302,1803,1,2
11,12,1303,1804,1,2
11,12,1304,1805,1,2
11,12,1305,1806,1,2
11,12,1306,1807,1,2
11,12,1307,1808,1,2
11,12,1308,1809,1,2
11,12,1309,1810,1,2
11,12,1310,1811,1,2
11,12,1311,1812,1,2
11,12,1312,1813,1,2
11,12,1313,1814,1,2
11,12,1314,1815,1,2
11,12,1315,1816,1,2
11,12,1316,1817,1,2
11,12,1317,1818,1,2
11,12,1318,1819,1,2
11,12,1319,1820,1,2
11,12,1320,1821,1,2
11,12,1321,1822,1,2
11,12,1322,1823,1,2
11,12,1323,1824,1,2
11,12,1324,1825,1,2
11,12,1325,1826,1,2
11,12,1326,1827,1,2
11,12,1327,1828,1,2
11,12,1328,1829,1,2
11,12,1329,1830,1,2
11,12,1330,1831,1,2
11,12,1331,1832,1,2
11,12,1332,1833,1,2
11,12,1333,1834,1,2
11,12,1334,1835,1,2
11,12,1335,1836,1,2
11,12,1336,1837,1,2
11,12,1337,1838,1,2
11,12,1338,1839,1,2
11,12,1339,1840,1,2
11,12,1340,1841,1,2
11,12,1341,1842,1,2
11,12,1342,1843,1,2
11,12,1343,1844,1,2
11,12,1344,1845,1,2
11,12,1345,1846,1,2
11,12,1346,1847,1,2
11,12,1347,1848,1,2
11,12,1348,1849,1,2
11,12,1349,1850,1,2
11,12,1350,1851,1,2
11,12,1351,1852,1,2
11,12,1352,1853,1,2
11,12,1353,1854,1,2
11,12,1354,1855,1,2
11,12,1355,1856,1,2
11,12,1356,1857,1,2
11,12,1357,1858,1,2
11,12,1358,1859,1,2
11,12,1359,1860,1,2
11,12,1360,1861,1,2
11,12,1361,1862,1,2
11,12,1362,1863,1,2
11,12,1363,1864,1,2
11,12,1364,1865,1,2
11,12,1365,1866,1,2
11,12,1366,1867,1,2
11,12,1367,1868,1,2
11,12,1368,1869,1,2
11,12,1369,1870,1,2
11,12,1370,1871,1,2
11,12,1371,1872,1,2
11,12,1372,1873,1,2
11,12,1373,1874,1,2
11,12,1374,1875,1,2
11,12,1375,1876,1,2
11,12,1376,1877,1,2
11,12,1377,1878,1,2
11,12,1378,1879,1,2
11,12,1379,1880,1,2
11,12,1380,1881,1,2
11,12,1381,1882,1,2
11,12,1382,1883,1,2
11,12,1383,1884,1,2
11,12,1384,1885,1,2
11,12,1385,1886,1,2
11,12,1386,1887,1,2
11,12,1387,1888,1,2
11,12,1388,1889,1,2
11,12,1389,1890,1,2
11,12,1390,1891,1,2
11,12,1391,1892,1,2
11,12,1392,1893,1,2
11,12,1393,1894,1,2
11,12,1394,1895,1,2
11,12,1395,1896,1,2
11,12,1396,1897,1,2
11,12,1397,1898,1,2
11,12,1398,1899,1,2
11,12,1399,1900,1,2
11,12,1400,1901,1,2
11,12,1401,1902,1,2
11,12,1402,1903,1,2
11,12,1403,1904,1,2
11,12,1404,1905,1,2
11,12,1405,1906,1,2
11,12,1406,1907,1,2
11,12,1407,1908,1,2
11,12,1408,1909,1,2
11,12,1409,1910,1,2
11,12,1410,1911,1,2
11,12,1411,1912,1,2
11,12,1412,1913,1,2
11,12,1413,1914,1,2
11,12,1414,1915,1,2
11,12,1415,1916,1,2
11,12,1416,1917,1,2
11,12,1417,1918,1,2
11,12,1418,1919,1,2
11,12,1419,1920,1,2
11,12,1420,1921,1,2
11,12,1421,1922,1,2
11,12,1422,1923,1,2
11,12,1423,1924,1,2
11,12,1424,1925,1,2
11,12,1425,1926,1,2
11,12,1426,1927,1,2
11,12,1427,1928,1,2
11,12,1428,1929,1,2
11,12,1429,1930,1,2
11,12,1430,1931,1,2
11,12,1431,1932,1,2
11,12,1432,1933,1,2
11,12,1433,1934,1,2
11,12,1434,1935,1,2
11,12,1435,1936,1,2
11,12,1436,1937,1,2
11,12,1437,1938,1,2
11,12,1438,1939,1,2
11,12,1439,1940,1,2
11,12,1440,1941,1,2
11,12,1441,1942,1,2
11,12,1442,1943,1,2
11,12,1443,1944,1,2
11,12,1444,1945,1,2
11,12,1445,1946,1,2
11,12,1446,1947,1,2
11,12,1447,1948,1,2
11,12,1448,1949,1,2
11,12,1449,1950,1,2
11,12,1450,1951,1,2
11,12,1451,1952,1,2
11,12,1452,1953,1,2
11,12,1453,1954,1,2
11,12,1454,1955,1,2
11,12,1455,1956,1,2
11,12,1456,1957,1,2
11,12,1457,1958,1,2
11,12,1458,1959,1,2
11,12,1459,1960,1,2
11,12,1460,1961,1,2
11,12,1461,1962,1,2
11,12,1462,1963,1,2
11,12,1463,1964,1,2
11,12,1464,1965,1,2
11,12,1465,1966,1,2
11,12,1466,1967,1,2
11,12,1467,1968,1,2
11,12,1468,1969,1,2
11,12,1469,1970,1,2
11,12,1470,1971,1,2
11,12,1471,1972,1,2
11,12,1472,1973,1,2
11,12,1473,1974,1,2
11,12,1474,1975,1,2
11,12,1475,1976,1,2
11,12,1476,1977,1,2
11,12,1477,1978,1,2
11,12,1478,1979,1,2
11,12,1479,1980,1,2
11,12,1480,1981,1,2
11,12,1481,1982,1,2
11,12,1482,1983,1,2
11,12,1483,1984,1,2
11,12,1484,1985,1,2
11,12,1485,1986,1,2
11,12,1486,1987,1,2
11,12,1487,1988,1,2
11,12,1488,1989,1,2
11,12,1489,1990,1,2
11,12,1490,1991,1,2
11,12,1491,1992,1,2
11,12,1492,1993,1,2
11,12,1493,1994,1,2
11,12,1494,1995,1,2
11,12,1495,1996,1,2
11,12,1496,1997,1,2
11,12,1497,1998,1,2
11,12,1498,1999,1,2
11,12,1499,2000,1,2
11,12,1500,2001,1,2
11,12,1501,2002,1,2
11,12,1502,2003,1,2
11,12,1503,2004,1,2
11,12,1504,2005,1,2
11,12,1505,2006,1,2
11,12,1506,2007,1,2
11,12,1507,2008,1,2
11,12,1508,2009,1,2
11,12,1509,2010,1,2
11,12,1510,2011,1,2
11,12,1511,2012,1,2
11,12,1512,2013,1,2
11,12,1513,2014,1,2
11,12,1514,2015,1,2
11,12,1515,2016,1,2
11,12,1516,2017,1,2
11,12,1517,2018,1,2
11,12,1518,2019,1,2
11,12,1519,2020,1,2
11,12,1520,2021,1,2
11,12,1521,2022,1,2
11,12,1522,2023,1,2
11,12,1523,2024,1,2
11,12,1524,2025,1,2
11,12,1525,2026,1,2
11,12,1526,2027,1,2
11,12,1527,2028,1,2
11,12,1528,2029,1,2
11,12,1529,2030,1,2
11,12,1530,2031,1,2
11,12,1531,2032,1,2
