TYP#SNO#=2
DATI#SNO#=#DATI#
STATION_NR#SNO#=#STATION_NR#
SHF#SNO#=#ShiftID#
ACC_REP_NR#SNO#=#ACC_REP_NR#
OPID#SNO#=#OPID#
REF#SNO#=#AccDayNum#@TillID@#REFSEQ#
SEQ#SNO#=#SEQ#
SAFTDATI#SNO#=#DATI#
LCUR#SNO#=10
PAN#SNO#=707705*******091385
LTYP#SNO#=396
LPAN#SNO#=2919582336729
MERCH_ID#SNO#,1=A
MERCH_NAME#SNO#,1=Test Store
MERCH_RECEIPT_SEQ_NR#SNO#,1=0#STATION_NR#00261657
PMP#SNO#,1=11
PUMP_MODE#SNO#,1=1,1,1
NOZZLE#SNO#,1=1
NDATI#SNO#,1=20220930064756
START_DATE#SNO#,1=20220930064612
PRI#SNO#,1=1.799
BASEPRI#SNO#,1=1.799
QTY#SNO#,1=148.05
QTYUNIT#SNO#,1=2
GAMT#SNO#,1=266.34
AMT#SNO#,1=266.34
UGAMT#SNO#,1=266.34
UAMT#SNO#,1=266.34
PLU#SNO#,1=8
NAM#SNO#,1=FS Diesel
GRP#SNO#,1=1000101
CRD#SNO#,1=425
EXTREF#SNO#,1=19
ART_MERCH_ID#SNO#,1=A
PRC#SNO#,1=20.00
VAMT#SNO#,1=44.39
EXC#SNO#,1=221.95
INC#SNO#,1=266.34
NQUA_CHANGEABLE#SNO#,1=313303.81
CPPAN#SNO#,1=707705*******091385
MOP#SNO#,1=6
MOP_ADDX#SNO#,1=50
MOP_ADDY#SNO#,1=2
ROP#SNO#,1=1
PM#SNO#,1=949
PSUB#SNO#,1=2
PA#SNO#,1=266.34
SLSTOT#SNO#=266.34
