TYP#SNO#=2
DATI#SNO#=#DATI#
STATION_NR#SNO#=#STATION_NR#
SHF#SNO#=#ShiftID#
ACC_REP_NR#SNO#=#ACC_REP_NR#
OPID#SNO#=#OPID#
REF#SNO#=#AccDayNum#@TillID@#REFSEQ#
SEQ#SNO#=#SEQ#
SAFTDATI#SNO#=#DATI#
LCUR#SNO#=10
PAN#SNO#=516882*******032
MERCH_ID#SNO#,1=A
MERCH_NAME#SNO#,1=Test Store
MERCH_RECEIPT_SEQ_NR#SNO#,1=0#STATION_NR#00261641
PRI#SNO#,1=2.59
UPR#SNO#,1=2.59
QTY#SNO#,1=1.00
QTYUNIT#SNO#,1=1
GAMT#SNO#,1=2.59
AMT#SNO#,1=2.59
UGAMT#SNO#,1=2.59
UAMT#SNO#,1=2.59
PLU#SNO#,1=106572
NAM#SNO#,1=GRENADE CARBKILLA CK
GRP#SNO#,1=5029
CRD#SNO#,1=6000
BAR#SNO#,1=5060221203616
ART_MERCH_ID#SNO#,1=A
EXC#SNO#,1=2.59
INC#SNO#,1=2.59
CPPAN#SNO#,1=516882*******032
MOP#SNO#,1=6
MOP_ADDX#SNO#,1=50
MOP_ADDY#SNO#,1=14
ROP#SNO#,1=1
PM#SNO#,1=949
PSUB#SNO#,1=14
PA#SNO#,1=2.59
SLSTOT#SNO#=2.59
