TYP#SNO#=2
DATI#SNO#=#DATI#
STATION_NR#SNO#=#STATION_NR#
SHF#SNO#=#ShiftID#
ACC_REP_NR#SNO#=#ACC_REP_NR#
OPID#SNO#=#OPID#
REF#SNO#=#AccDayNum#@TillID@#REFSEQ#
SEQ#SNO#=#SEQ#
SAFTDATI#SNO#=#DATI#
LCUR#SNO#=10
PAN#SNO#=446292*******069
MERCH_ID#SNO#,1=A
MERCH_NAME#SNO#,1=Test Store
MERCH_RECEIPT_SEQ_NR#SNO#,1=0#STATION_NR#00261659
PRI#SNO#,1=1.05
UPR#SNO#,1=1.05
QTY#SNO#,1=1.00
QTYUNIT#SNO#,1=1
GAMT#SNO#,1=1.05
AMT#SNO#,1=1.05
UGAMT#SNO#,1=1.05
UAMT#SNO#,1=1.05
PLU#SNO#,1=101304
NAM#SNO#,1=TWIX TWIN 50G
GRP#SNO#,1=5027
CRD#SNO#,1=3119
BAR#SNO#,1=5000159459228
ART_MERCH_ID#SNO#,1=A
PRC#SNO#,1=20.00
VAMT#SNO#,1=0.17
EXC#SNO#,1=0.88
INC#SNO#,1=1.05
PRI#SNO#,2=2.25
UPR#SNO#,2=2.25
QTY#SNO#,2=1.00
QTYUNIT#SNO#,2=1
GAMT#SNO#,2=2.25
AMT#SNO#,2=2.25
UGAMT#SNO#,2=2.25
UAMT#SNO#,2=2.25
PLU#SNO#,2=108210
NAM#SNO#,2=RED BULL 355ML
GRP#SNO#,2=5025
CRD#SNO#,2=7119
BAR#SNO#,2=9002490206000
ART_MERCH_ID#SNO#,2=A
PRC#SNO#,2=20.00
VAMT#SNO#,2=0.37
EXC#SNO#,2=1.88
INC#SNO#,2=2.25
PRI#SNO#,3=1.99
UPR#SNO#,3=1.99
QTY#SNO#,3=1.00
QTYUNIT#SNO#,3=1
GAMT#SNO#,3=1.99
AMT#SNO#,3=1.99
UGAMT#SNO#,3=1.99
UAMT#SNO#,3=1.99
PLU#SNO#,3=105443
NAM#SNO#,3=LUCOZADE SPORT ORANG
GRP#SNO#,3=5025
CRD#SNO#,3=7119
BAR#SNO#,3=5054267000681
ART_MERCH_ID#SNO#,3=A
PRC#SNO#,3=20.00
VAMT#SNO#,3=0.33
EXC#SNO#,3=1.66
INC#SNO#,3=1.99
CPPAN#SNO#,1=446292*******069
MOP#SNO#,1=6
MOP_ADDX#SNO#,1=50
MOP_ADDY#SNO#,1=12
ROP#SNO#,1=1
PM#SNO#,1=949
PSUB#SNO#,1=12
PA#SNO#,1=5.29
SLSTOT#SNO#=5.29
